day,hedge_stock,action,stocks,new_allocation$,new_quantity,target_price,signal
29,,sell to open,CPRT,-10000.0,-199.64064683569575,50.09,3.112080857132783
29,CPRT,long to hedge,BAH,1016.0290070889138,19.840441458482985,51.21,-99.0
29,CPRT,long to hedge,BFAM,1339.3749114754094,11.366046431393494,117.84,-99.0
29,CPRT,long to hedge,BR,452.21017046769043,4.513075553569765,100.2,-99.0
29,CPRT,long to hedge,CDK,2945.4462725978237,59.28837102652624,49.68,-99.0
29,CPRT,long to hedge,CNDT,1036.9419221984879,77.67355222460584,13.35,-99.0
29,CPRT,long to hedge,CPRT,1098.719281629417,21.934902807534776,50.09,-99.0
29,CPRT,long to hedge,CRL,1191.741721232689,9.522506761747415,125.15,-99.0
29,CPRT,long to hedge,DNB,1304.23222220924,9.152506822520984,142.5,-99.0
29,CPRT,long to hedge,EFX,1959.6967388751334,19.402938008664687,101.0,-99.0
29,CPRT,long to hedge,FDS,2458.193776587646,10.782497484812906,227.98,-99.0
29,CPRT,long to hedge,FLT,1341.557853800256,7.131773184840019,188.11,-99.0
29,CPRT,long to hedge,G,535.5773584835905,18.291576450942298,29.28,-99.0
29,CPRT,long to hedge,INFO,1205.6568197040465,23.93600992066799,50.37,-99.0
29,CPRT,long to hedge,IPG,255.7962681046855,11.08302721424114,23.08,-99.0
29,CPRT,long to hedge,IT,2118.867876569712,14.511799716250339,146.01,-99.0
29,CPRT,long to hedge,JCI,529.382433374167,15.92127619170427,33.25,-99.0
29,CPRT,long to hedge,KAR,1999.0924819627514,35.12726202710862,56.91,-99.0
29,CPRT,long to hedge,LOPE,1917.9008412128396,15.656333397655834,122.5,-99.0
29,CPRT,long to hedge,MAN,1740.879206374674,21.67429290805122,80.32,-99.0
29,CPRT,long to hedge,MCO,664.5996986610093,4.408329123514257,150.76,-99.0
29,CPRT,long to hedge,MORN,521.0672996573658,4.491959479804877,116.0,-99.0
29,CPRT,long to hedge,MSCI,1537.0228767799372,10.503094688943127,146.34,-99.0
29,CPRT,long to hedge,NLSN,6223.447415091566,247.15835643731398,25.18,-99.0
29,CPRT,long to hedge,OMC,5289.333308017113,68.99730378316089,76.66,-99.0
29,CPRT,long to hedge,PRAH,1508.951785884786,15.36141490262431,98.23,-99.0
29,CPRT,long to hedge,RHI,1126.956494366715,19.205120899228273,58.68,-99.0
29,CPRT,long to hedge,SPGI,1709.2435448913823,9.621951952777428,177.64,-99.0
29,CPRT,long to hedge,TRU,1146.1688481873057,18.885629398373798,60.69,-99.0
29,CPRT,long to hedge,WP,676.2386479785127,8.283177951721127,81.64,-99.0
29,CPRT,long to hedge,Z,1090.293439606547,37.36440848548825,29.18,-99.0
29,CPRT,long to hedge,ZG,1104.2564478385705,38.15675355350969,28.94,-99.0
29,,buy to open,LOPE,10000.0,81.63265306122449,122.5,-2.196957220235205
29,LOPE,short to hedge,BAH,-487.0423203041922,-9.51068776223769,51.21,-99.0
29,LOPE,short to hedge,BFAM,-642.0409851400227,-5.448412976408882,117.84,-99.0
29,LOPE,short to hedge,BR,-216.77086889554158,-2.1633819251052055,100.2,-99.0
29,LOPE,short to hedge,CDK,-1411.9252274574465,-28.420395077645864,49.68,-99.0
29,LOPE,short to hedge,CNDT,-497.06710761658843,-37.23349120723509,13.35,-99.0
29,LOPE,short to hedge,CPRT,-526.6806208820349,-10.514685982871528,50.09,-99.0
29,LOPE,short to hedge,CRL,-571.2717344315809,-4.564696239964689,125.15,-99.0
29,LOPE,short to hedge,DNB,-625.1950321185,-4.387333558726316,142.5,-99.0
29,LOPE,short to hedge,EFX,-939.3976354365818,-9.30096668749091,101.0,-99.0
29,LOPE,short to hedge,FDS,-1178.3565157621529,-5.168683725599408,227.98,-99.0
29,LOPE,short to hedge,FLT,-643.0873974841247,-3.418677356249666,188.11,-99.0
29,LOPE,short to hedge,G,-256.73365382117566,-8.768225881870753,29.28,-99.0
29,LOPE,short to hedge,INFO,-577.9420576206489,-11.473934040513182,50.37,-99.0
29,LOPE,short to hedge,IPG,-122.61816057772927,-5.312745259000402,23.08,-99.0
29,LOPE,short to hedge,IT,-1015.697701367122,-6.956357108192056,146.01,-99.0
29,LOPE,short to hedge,JCI,-253.76406271860566,-7.632001886273854,33.25,-99.0
29,LOPE,short to hedge,KAR,-958.2823267097929,-16.83855784062191,56.91,-99.0
29,LOPE,short to hedge,LOPE,-919.3624092426323,-7.5049992591235295,122.5,-99.0
29,LOPE,short to hedge,MAN,-834.505552623305,-10.389760366326009,80.32,-99.0
29,LOPE,short to hedge,MCO,-318.5816320704696,-2.113170815007095,150.76,-99.0
29,LOPE,short to hedge,MORN,-249.77813122372254,-2.1532597519286427,116.0,-99.0
29,LOPE,short to hedge,MSCI,-736.7852522364203,-5.0347495711112495,146.34,-99.0
29,LOPE,short to hedge,NLSN,-2983.2635172708897,-118.47750267160006,25.18,-99.0
29,LOPE,short to hedge,OMC,-2535.487815037807,-33.07445623581799,76.66,-99.0
29,LOPE,short to hedge,PRAH,-723.3291312520241,-7.36362751961747,98.23,-99.0
29,LOPE,short to hedge,RHI,-540.2163738128497,-9.206141339687282,58.68,-99.0
29,LOPE,short to hedge,SPGI,-819.3407237988538,-4.612366155138785,177.64,-99.0
29,LOPE,short to hedge,TRU,-549.4259823161498,-9.052990316627941,60.69,-99.0
29,LOPE,short to hedge,WP,-324.1608634132256,-3.970613221622068,81.64,-99.0
29,LOPE,short to hedge,Z,-522.6416204000573,-17.910953406444733,29.18,-99.0
29,LOPE,short to hedge,ZG,-529.3349095485985,-18.290770889723515,28.94,-99.0
